Latitude,Longitude
41.3763,-73.06355000000001
41.37633,-73.06358
41.37641,-73.06361
41.37647,-73.06364000000002
41.37658,-73.0637
41.37667,-73.06374
41.37713,-73.06395000000001
41.37736,-73.06405
41.37748,-73.0641
41.37757,-73.06413000000001
41.37771,-73.06417
41.37785000000001,-73.06421
41.37801,-73.06424
41.37819,-73.06426999999999
41.37854,-73.06431000000001
41.37922,-73.06437
41.37939,-73.06439
41.37953,-73.06441
41.37967,-73.06443
41.37978,-73.06446
41.37984,-73.06448
41.37988,-73.0645
41.37991,-73.06452
41.37994,-73.06453999999999
41.37998,-73.06456
41.38003,-73.06459
41.38014,-73.06467000000001
41.38032,-73.06483
41.3806,-73.06505
41.3809,-73.06529000000001
41.38117,-73.06551
41.3815,-73.06578
41.38169,-73.06592999999999
41.38189,-73.06609
41.38208,-73.06625
41.3823,-73.06642000000001
41.38255,-73.06662
41.38292,-73.06688
41.38324,-73.06713000000001
41.38349,-73.06731000000001
41.38376,-73.0675
41.38386,-73.06757
41.38395,-73.06764
41.38406,-73.06772000000001
41.38423,-73.06787
41.38437,-73.068
41.38477,-73.06833
41.38552000000001,-73.06896999999999
41.3861,-73.06937000000001
41.38656,-73.06968999999999
41.38703,-73.06815
41.38709,-73.06793
41.38716,-73.06774
41.38724,-73.06757
41.38684,-73.06708999999999
41.38673,-73.06696
41.38655,-73.06677999999999
41.38647,-73.06684
41.38636,-73.06689
41.38624,-73.06694
41.38605,-73.06699
41.38591,-73.06699
41.38567,-73.06703
41.3851,-73.06708999999999
41.3848,-73.06716
41.38476,-73.06722000000001
41.38472,-73.06731000000001
41.38472,-73.06739
41.38471,-73.06753999999999
41.38472,-73.06778
41.38474000000001,-73.06796
41.38476,-73.06809
41.38476,-73.06822
41.38477,-73.06833
41.38437,-73.068
41.38423,-73.06787
41.38406,-73.06772000000001
41.38395,-73.06764
41.38386,-73.06757
41.38376,-73.0675
41.38349,-73.06731000000001
41.38324,-73.06713000000001
41.38292,-73.06688
41.38255,-73.06662
41.3823,-73.06642000000001
41.38208,-73.06625
41.38189,-73.06609
41.38169,-73.06592999999999
41.3815,-73.06578
41.38117,-73.06551
41.3809,-73.06529000000001
41.3806,-73.06505
41.38032,-73.06483
41.38014,-73.06467000000001
41.38003,-73.06459
41.37998,-73.06456
41.37994,-73.06453999999999
41.37991,-73.06452
41.37988,-73.0645
41.37984,-73.06448
41.37978,-73.06446
41.37967,-73.06443
41.37953,-73.06441
41.37939,-73.06439
41.37922,-73.06437
41.37854,-73.06431000000001
41.37819,-73.06426999999999
41.37801,-73.06424
41.37785000000001,-73.06421
41.37771,-73.06417
41.37757,-73.06413000000001
41.37748,-73.0641
41.37736,-73.06405
41.37713,-73.06395000000001
41.37667,-73.06374
41.37658,-73.0637
41.37647,-73.06364000000002
41.37641,-73.06361
41.37633,-73.06358
41.3763,-73.06355000000001
